replicate_id,local_mean_dir_f1,federated_consensus_dir_f1,federated_naive_dir_f1,n_sepset_pairs_retained,note
0,0.2880417615459314,0.27586206392390017,0.0,72,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
1,0.3090315263893631,0.27586206392390017,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
2,0.275179199257123,0.277777772638889,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
3,0.28403243755854274,0.285714280739796,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
4,0.29934640006976,0.26666666157777785,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
5,0.2412418249440173,0.22857142344489806,0.0,80,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
6,0.27848862405033137,0.25806451100936534,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
7,0.2752056037087151,0.27586206392390017,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
8,0.2636232969050568,0.26666666157777785,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
9,0.26557843945607534,0.277777772638889,0.0,76,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
